code;place_detail;place;lat;lon
NA-001;;Niederanven (G);49.6567;6.19
NA-002;;Niederanven (G);49.6559;6.1927
NA-003;;Niederanven (G);49.6561;6.207
NA-004;;Niederanven (G);49.6541;6.2153
NA-005;;Niederanven (G);49.6487;6.2056
NA-006;;Niederanven (G);49.6473;6.1938
NA-007;;Niederanven (G);49.64456;6.215
NA-008;;Niederanven (G);49.6493;6.2246
NA-009;;Niederanven (G);49.64515;6.20454
WWP-001;Spielplatz;Weiswampach;50.1385536193;6.0634536743
WWP-002;Tretboote;Weiswampach;50.1373519897;6.0673098564
WWP-003;WC / Schleuse;Weiswampach;50.1378555297;6.0712919235
WWP-004;Parking Rock am See;Weiswampach;50.1359825134;6.0711011886
WWP-005;Festzelt / Reitplatz;Weiswampach;50.1389389038;6.0715303421
WWP-006;Liegewiese;Weiswampach;50.1388168334;6.0675983428
WWP-007;Lindenallee 1;Weiswampach;50.1407394409;6.064253807
WWP-008;Lindenallee 2;Weiswampach;50.1429023742;6.0616030693
WWP-010;See Fischerei;Weiswampach;50.1394195556;6.0590381622
WWP-009;Conzefenn Insektenhotel;Weiswampach;50.1425132751;6.057041645
LX-001;;Luxembourg, Ville (G);49.6323;6.18526
LX-002;;Luxembourg, Ville (G);49.64928;6.15066
LX-003;;Luxembourg, Ville (G);49.64506;6.10727
LX-004;;Luxembourg, Ville (G);49.63882;6.11069
LX-005;;Luxembourg, Ville (G);49.63243;6.10933
LX-006;;Luxembourg, Ville (G);49.63245;6.08981
LX-007;;Luxembourg, Ville (G);49.63709;6.09542
LX-008;;Luxembourg, Ville (G);49.64564;6.09965
LX-010;;Luxembourg, Ville (G);49.64166;6.08663
LX-011;;Luxembourg, Ville (G);49.64273;6.09446
LX-012;;Luxembourg, Ville (G);49.64087;6.07643
LX-013;;Luxembourg, Ville (G);49.63198;6.06991
LX-014;;Luxembourg, Ville (G);49.62706;6.09513
LX-015;;Luxembourg, Ville (G);49.63391;6.08333
LX-016;;Luxembourg, Ville (G);49.63098;6.09783
LX-017;;Luxembourg, Ville (G);49.63733;6.10346
LX-018;;Luxembourg, Ville (G);49.62899;6.08256
LX-019;;Luxembourg, Ville (G);49.60712;6.17899
LX-020;;Luxembourg, Ville (G);49.57866;6.08352
LX-021;;Luxembourg, Ville (G);49.58266;6.0825
LX-022;;Luxembourg, Ville (G);49.56688;6.10072
LX-009;;Luxembourg, Ville (G);49.64615;6.08549
JU-001;;Junglinster (G);49.68704;6.21445
NA-010;;Niederanven (G);49.63835;6.175
NA-011;;Niederanven (G);49.64029;6.16787
NA-012;;Niederanven (G);49.64366;6.16734
NA-013;;Niederanven (G);49.64615;6.18098
NA-014;;Niederanven (G);49.64807;6.16968
NA-015;;Niederanven (G);49.65486;6.17555
NA-016;;Niederanven (G);49.6258;6.1824
NA-017;;Niederanven (G);49.629;6.19439
NA-018;;Niederanven (G);49.63189;6.20491
NA-019;;Niederanven (G);49.63664;6.19218
NA-020;;Niederanven (G);49.64034;6.20188
NA-021;;Niederanven (G);49.66115;6.20089
NA-022;;Niederanven (G);49.66343;6.21778
NA-023;;Niederanven (G);49.66391;6.22623
NA-024;;Niederanven (G);49.6693;6.23008
NA-025;;Niederanven (G);49.67057;6.22188
NA-026;;Niederanven (G);49.67343;6.21416
NA-027;;Niederanven (G);49.67498;6.21808
NA-028;;Niederanven (G);49.68133;6.21432
NA-029;;Niederanven (G);49.68377;6.22087
NA-030;;Niederanven (G);49.67401;6.20578
NA-031;;Niederanven (G);49.66088;6.19184
NA-032;;Niederanven (G);49.66696;6.19677
NA-033;;Niederanven (G);49.64068;6.17995
SL-001;;Steinsel (G);49.67936;6.20648
SL-002;;Steinsel (G);49.68579;6.20245
SL-003;;Steinsel (G);49.67057;6.19336
SL-004;;Steinsel (G);49.66748;6.19222
SL-005;;Steinsel (G);49.66928;6.1811
SL-006;;Steinsel (G);49.67514;6.18469
SL-007;;Steinsel (G);49.67369;6.1902
SL-008;;Steinsel (G);49.68041;6.19257
SL-009;;Steinsel (G);49.67817;6.18569
SL-010;;Steinsel (G);49.68211;6.18511
SL-011;;Steinsel (G);49.68116;6.17752
SL-012;;Steinsel (G);49.68084;6.17289
SL-013;;Steinsel (G);49.67519;6.17191
SL-014;;Steinsel (G);49.67364;6.17519
SL-015;;Steinsel (G);49.67109;6.17151
SL-016;;Steinsel (G);49.67011;6.16635
SL-017;;Steinsel (G);49.66811;6.16096
SL-018;;Steinsel (G);49.6661;6.17073
SL-019;;Steinsel (G);49.67986;6.16239
SL-020;;Steinsel (G);49.65897;6.17279
SL-021;;Steinsel (G);49.66192;6.16481
